,assortativity,purity,kind
175,0.0,0.8714717741935484,all
176,0.0,0.9708412247474747,all
177,0.0,0.9549694189602447,all
178,0.0,0.933531746031746,all
179,0.0,0.8877257799671593,all
180,2.220547425593702e-16,0.9516806722689075,all
181,0.0,0.8742762613730355,all
182,0.0,0.9317813765182186,all
183,0.0,0.8748796147672553,all
184,0.0,0.9551264860999374,all
185,-2.23443948528986e-16,0.6356589147286822,all
186,0.0,0.9427083333333333,all
187,0.0,0.9461213891593638,all
188,0.0,0.9216959511077158,all
189,0.0,0.8206533776301219,all
190,0.0,0.9166666666666667,all
191,0.0,0.961038961038961,all
192,0.0,0.9813432835820896,all
193,0.0,0.9233870967741935,all
194,0.0,0.9214606283149734,all
195,0.0,0.9305757135945816,all
196,0.0,0.913089763243059,all
197,0.0,0.9694656488549618,all
198,0.0,0.5813492063492063,all
199,0.0,0.9855769230769231,all
200,0.0,0.8794486215538847,all
201,-2.265943948526569e-16,0.8745471014492754,all
202,-2.2205460693426223e-16,0.9615384615384616,all
203,0.0,0.9112684365781711,all
204,0.0,0.98828125,all
205,0.0,0.944196106705119,all
206,0.0,0.8679245283018868,all
207,0.0,0.9411764705882353,all
208,0.0,0.875,all
209,2.2638476250199254e-16,0.8672897196261682,all
210,0.0,0.9134278432621854,all
211,0.0,0.5650609080841639,all
212,2.220862799634932e-16,0.9884877027734171,all
213,0.0,0.5913978494623655,all
214,0.0,0.9905660377358491,all
215,0.0,0.9361111111111111,all
216,0.0,0.9821428571428572,all
217,0.0,0.984375,all
218,0.0,0.9885496183206106,all
219,0.0,0.9801108801108801,all
220,0.0,0.9019230769230769,all
221,-2.2205460693426223e-16,0.8561204626130768,all
222,-2.241557047813459e-16,0.7275401069518717,all
223,2.2206788546375827e-16,0.9035502958579882,all
224,0.0,0.6868336886993603,all
