"number","title","pageid","namespace","length","touched"
"350","Paul_Giamatti","130715","","41042","20200127172219"
"351","Ezra_Stiles","130752","","18012","20200128230031"
"352","Richie_Sambora","131222","","37008","20200129142314"
"353","Royal_Proclamation_of_1763","132989","","28600","20200126232926"
"354","Nathaniel_Gorham","133264","","15349","20200128230031"
"355","Sullivan's_Island,_South_Carolina","134429","","21698","20200128230031"
"356","Timothy_Dwight_IV","134849","","19275","20200128230031"
"357","Elizabethton,_Tennessee","135112","","61346","20200128230631"
"358","Paul_Wellstone","137707","","52244","20200128230031"
"359","Rudy_Perpich","137985","","11843","20200118142840"
"360","Wendell_R._Anderson","137987","","10841","20200118142840"
"361","Sophia,_West_Virginia","138590","","10284","20200123105434"
"362","Tadeusz_Kościuszko","140367","","86744","20200127172219"
"363","Naphtali_Daggett","140549","","3822","20200128230031"
"364","Flora_MacDonald","140780","","15980","20200128164738"
"365","Wyandot_people","140832","","49883","20200129152641"
"366","Northwest_Ordinance","140997","","27308","20200129142312"
"367","John_Churchill,_1st_Duke_of_Marlborough","142292","","102126","20200127172219"
"368","Cosmopolitan_(magazine)","143871","","45343","20200127230739"
"369","Ja_Rule","144010","","69405","20200129024230"
"370","Kevin_Costner","144152","","42399","20200129035559"
"371","Steve_Allen","144196","","51477","20200129011518"
"372","John_Fowler_(politician)","144668","","7810","20200118142853"
"373","Joe_Biden","145422","","274394","20200129113958"
"374","Liberty_Bell","145450","","61504","20200128230033"
"375","Martin_v._Hunter's_Lessee","146261","","12264","20200111093229"
"376","Cohens_v._Virginia","146272","","10859","20200111093229"
"377","George_Dewey","146875","","47724","20200128230634"
"378","Nancy_Pelosi","147301","","160204","20200129152617"
"379","Aretha_Franklin","147367","","108348","20200128230034"
"380","Myrna_Loy","147369","","35512","20200128230034"
"381","Battle_of_New_Orleans","147394","","53663","20200128230634"
"382","George_Clinton_(vice_president)","147872","","31006","20200128210207"
"383","James_M._Cox","148088","","26861","20200120023007"
"384","Silas_Deane","148298","","21242","20200128230634"
"385","Charles_Gravier,_comte_de_Vergennes","148300","","35333","20200125221618"
"386","James_Taylor","148375","","78676","20200128005412"
"387","Coleman_Young","148440","","43310","20200128230034"
"388","Carole_King","149109","","75827","20200128230034"
"389","Charles_III_of_Spain","149441","","76243","20200128230034"
"390","Jackson_Browne","149564","","48103","20200125221618"
"391","Willie_Nelson","149709","","138063","20200128230034"
"392","Cornel_Wilde","149784","","25593","20200127132047"
"393","Larry_Parks","149788","","18956","20200118142900"
"394","John_Garfield","149798","","30152","20200128230034"
"395","Hugo_Black","150063","","99758","20200128230034"
"396","Bifocals","150423","","8478","20200118142901"
"397","Kevin_Johnson_(basketball)","151744","","64629","20200127194330"
"398","Vincent_Price","151949","","45969","20200128230034"
"399","Arthur_Middleton","152055","","5561","20200120023011"
"400","Don_Rickles","152195","","46800","20200128230034"
"401","Jane_Addams","152277","","103109","20200128230034"
"402","Alexis_Herman","152799","","37703","20200125221621"
"403","Norman_Mineta","152810","","28251","20200125221621"
"404","Luis_Muñoz_Marín","153100","","48287","20200128230034"
"405","Abraham_Beame","153289","","11799","20200118142907"
"406","Crispus_Attucks","154016","","25395","20200118142908"
"407","Harry_Belafonte","154183","","61051","20200128230034"
"408","Mstislav_Rostropovich","155166","","45497","20200128230034"
"409","Ken_Burns","155721","","39913","20200126215519"
"410","Gilbert_du_Motier,_Marquis_de_Lafayette","156068","","105979","20200128230635"
"411","Joel_Barlow","156935","","14042","20200129095522"
"412","Battle_of_Brandywine","157363","","29130","20200128230636"
"413","Siege_of_Yorktown","157770","","54326","20200128230636"
"414","Herbert_W._Armstrong","157839","","66589","20200128230036"
"415","Stamp_Act_1765","159114","","71454","20200128230036"
"416","MSNBC","159846","","73212","20200129105904"
"417","Roberto_Sánchez_Vilella","160303","","14601","20200128210418"
"418","Will_Rogers","160575","","66989","20200128230036"
"419","Kim_Hunter","160624","","27106","20200124111247"
"420","Linda_Ronstadt","160760","","184325","20200128230037"
"421","Fred_Phelps","160821","","79961","20200128032324"
"422","Cynthia_Nixon","161257","","66119","20200126215519"
"423","1776_(musical)","161607","","54680","20200128230037"
"424","Elsa_Lanchester","161783","","22458","20200128230037"
"425","Cliff_Robertson","161898","","34935","20200128230037"
"426","Melvyn_Douglas","161914","","23735","20200118142918"
"427","Battle_of_Bunker_Hill","163162","","73017","20200128230637"
"428","John_Burgoyne","163208","","27962","20200129151939"
"429","James_Whitmore","163483","","33963","20200126215519"
"430","Roddy_McDowall","163588","","50445","20200128230038"
"431","John_Hume","163628","","25705","20200125221622"
"432","The_Future_of_Ideas","163716","","4542","20200128230038"
"433","Ethan_Hawke","164120","","102612","20200127222749"
"434","Martti_Ahtisaari","164603","","48889","20200129163828"
"435","Albert_Ghiorso","164644","","12407","20200118142921"
"436","Cyrus_Vance","165126","","27088","20200125221623"
"437","Angela_Lansbury","165527","","102131","20200128230038"
"438","Jacques_Delors","165718","","11826","20200128230637"
"439","Dick_Gephardt","165912","","38402","20200125221623"
"440","John_Edwards","166163","","84318","20200128230039"
"441","Dinah_Washington","166278","","20061","20200128230039"
"442","Al_Sharpton","166702","","92091","20200128230039"
"443","Eugene_McCarthy","166899","","45894","20200128230039"
"444","Matt_Damon","166959","","86755","20200128230039"
"445","Kris_Kristofferson","168094","","43555","20200129074259"
"446","Continental_Army","168210","","38989","20200128230039"
"447","Jim_Hunt","168222","","15014","20200118142926"
"448","Larry_Gene_Ashbrook","168229","","9047","20200118142927"
"449","Coolio","168263","","25904","20200128113454"
"450","James_Garner","168544","","84501","20200129064740"
"451","Navigation_Acts","168767","","53405","20200118142927"
"452","Robert_H._Jackson","168906","","62868","20200128230040"
"453","Francis_Asbury","169082","","37556","20200128230040"
"454","Billy_Ray_Cyrus","169602","","55940","20200128193409"
"455","Randy_Newman","170020","","56176","20200128230040"
"456","John_Mellencamp","170026","","103723","20200125221624"
"457","Lucius_Quintus_Cincinnatus_Lamar_II","170309","","19558","20200128230040"
"458","Bill_Moyers","170721","","52911","20200128230040"
"459","Cape_Fear_(1991_film)","171026","","20286","20200128230040"
"460","Winfield_Scott_Hancock","171498","","52485","20200128230041"
"461","Peter_Fonda","171549","","53261","20200129060211"
