id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
110,Amanda's,/wiki/Amanda%27s,291,84,"201
                                ·
                                (69.1%)",592,5
111,The Amazing Race,/wiki/The_Amazing_Race_(U.S._TV_series),"3,282",943,"1,381
                                ·
                                (42.1%)","6,291",369
112,The Amazing Spider-Man,/wiki/The_Amazing_Spider-Man_(TV_series),704,321,"231
                                ·
                                (32.8%)","1,657",75
113,Amazing Stories,/wiki/Amazing_Stories_(TV_series),439,248,"97
                                ·
                                (22.1%)","1,156",17
114,Amen,/wiki/Amen_(TV_series),450,240,"102
                                ·
                                (22.7%)",336,16
115,American Bandstand,/wiki/American_Bandstand,"1,129",534,"274
                                ·
                                (24.3%)","2,498",81
116,American Chopper,/wiki/American_Chopper,919,549,"139
                                ·
                                (15.1%)","1,489",80
117,American Chopper: Senior vs. Junior,/wiki/American_Chopper:_Senior_vs._Junior,182,109,"61
                                ·
                                (33.5%)","1,489",7
118,American Dad!,/wiki/American_Dad!,"8,283","3,222","2,451
                                ·
                                (29.6%)","6,090",949
119,American Dragon: Jake Long,/wiki/American_Dragon:_Jake_Long,"4,650","1,717","1,368
                                ·
                                (29.4%)",475,552
120,American Dreamer,/wiki/American_Dreamer_(TV_series),38,32,"15
                                ·
                                (39.5%)",210,0
121,American Dreams,/wiki/American_Dreams,"1,050",491,"294
                                ·
                                (28%)","2,627",29
122,American Gladiators,/wiki/American_Gladiators,"2,319","1,015","534
                                ·
                                (23%)","3,948",169
123,American Gladiators,/wiki/American_Gladiators_(2008_TV_series),"1,497",475,"645
                                ·
                                (43.1%)","2,969",131
124,American Horror Story,/wiki/American_Horror_Story,"5,437","2,141","1,232
                                ·
                                (22.7%)","7,968",884
125,American Idol,/wiki/American_Idol,"20,643","7,959","3,278
                                ·
                                (15.9%)","12,754","2,933"
126,Pop Idol,/wiki/Pop_Idol,"1,240",690,"188
                                ·
                                (15.2%)","1,741",125
127,American Juniors,/wiki/American_Juniors,509,278,"131
                                ·
                                (25.7%)",596,41
128,American Ninja Warrior,/wiki/American_Ninja_Warrior,"2,716",953,"763
                                ·
                                (28.1%)","4,451",224
129,American Presidents: Life Portraits,/wiki/American_Presidents:_Life_Portraits,92,37,"64
                                ·
                                (69.6%)",337,9
130,The Americans,/wiki/The_Americans_(1961_TV_series),112,40,"78
                                ·
                                (69.6%)",443,1
131,The Americans,/wiki/The_Americans_(2013_TV_series),"1,661",552,"715
                                ·
                                (43%)","5,062",183
132,American Writers: A Journey Through History,/wiki/American_Writers:_A_Journey_Through_History,71,15,"66
                                ·
                                (93%)",457,0
133,America's Best Dance Crew,/wiki/America%27s_Best_Dance_Crew,"3,256","1,435","642
                                ·
                                (19.7%)",592,536
134,America's Funniest Home Videos,/wiki/America%27s_Funniest_Home_Videos,"3,533","1,252","1,147
                                ·
                                (32.5%)","6,662",249
135,America's Got Talent,/wiki/America%27s_Got_Talent,"7,023","2,738","1,147
                                ·
                                (16.3%)","5,539",664
136,America's Most Wanted,/wiki/America%27s_Most_Wanted,"1,566",819,"188
                                ·
                                (12%)","2,002",127
