,title,year,url,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
6463,Tom Clancy's Op-Center: Mirror Image,1995,/wiki/Tom_Clancy%27s_Op-Center:_Mirror_Image,38,29,"17
                                ·
                                (44.7%)",157,0
6464,"Tonight, by Sea",1995,"/wiki/Tonight,_by_Sea",39,26,"23
                                ·
                                (59%)",243,1
6465,The Tortilla Curtain,1995,/wiki/The_Tortilla_Curtain,250,180,"48
                                ·
                                (19.2%)",770,38
6466,Traveling with the Dead,1995,/wiki/Traveling_with_the_Dead,22,19,"13
                                ·
                                (59.1%)",369,0
6467,The Treasure in the Royal Tower (novel),1995,/wiki/The_Treasure_in_the_Royal_Tower_(novel),34,23,"21
                                ·
                                (61.8%)",86,1
6468,The Tunnel (novel),1995,/wiki/The_Tunnel_(novel),69,47,"30
                                ·
                                (43.5%)",1609,5
6469,The Two-Bear Mambo,1995,/wiki/The_Two-Bear_Mambo,80,25,"65
                                ·
                                (81.2%)",172,1
6470,Under the Blood Red Sun,1995,/wiki/Under_the_Blood_Red_Sun,212,142,"47
                                ·
                                (22.2%)",435,42
6471,The Venus Throw,1995,/wiki/The_Venus_Throw,8,7,"8
                                ·
                                (100%)",151,0
6472,Villains by Necessity,1995,/wiki/Villains_by_Necessity,105,50,"56
                                ·
                                (53.3%)",129,1
6473,The Watsons Go to Birmingham  1963,1995,/wiki/The_Watsons_Go_to_Birmingham_%E2%80%93_1963,2439,1393,"205
                                ·
                                (8.4%)",1486,570
6474,Wayside School Gets A Little Stranger,1995,/wiki/Wayside_School_Gets_A_Little_Stranger,311,198,"54
                                ·
                                (17.4%)",348,36
6475,What Jamie Saw,1995,/wiki/What_Jamie_Saw,52,42,"20
                                ·
                                (38.5%)",92,6
6476,When Christ and His Saints Slept,1995,/wiki/When_Christ_and_His_Saints_Slept,49,25,"34
                                ·
                                (69.4%)",199,2
6477,When Heaven Fell,1995,/wiki/When_Heaven_Fell,40,21,"28
                                ·
                                (70%)",412,1
6478,Where the Heart Is (novel),1995,/wiki/Where_the_Heart_Is_(novel),221,168,"32
                                ·
                                (14.5%)",1596,24
6479,Wicked (Maguire novel),1995,/wiki/Wicked_(Maguire_novel),1671,945,"227
                                ·
                                (13.6%)",3363,140
6480,Winning Colors (novel),1995,/wiki/Winning_Colors_(novel),44,35,"19
                                ·
                                (43.2%)",905,2
6481,A Woman in Amber,1995,/wiki/A_Woman_in_Amber,94,38,"62
                                ·
                                (66%)",2361,1
6482,Wonder Boys,1995,/wiki/Wonder_Boys,208,134,"53
                                ·
                                (25.5%)",261,16
6483,Worldwar: Tilting the Balance,1995,/wiki/Worldwar:_Tilting_the_Balance,161,76,"78
                                ·
                                (48.4%)",1279,6
6484,next page,1995,/w/index.php?title=Category:1995_American_novels&pagefrom=Wren%27s+War#mw-pages,NA,NA,NA,NA,NA
6485,The 37th Mandala,1996,/wiki/The_37th_Mandala,38,33,"15
                                ·
                                (39.5%)",149,0
6486,Absolute Power (novel),1996,/wiki/Absolute_Power_(novel),69,51,"26
                                ·
                                (37.7%)",234,4
6487,Accordion Crimes,1996,/wiki/Accordion_Crimes,45,31,"24
                                ·
                                (53.3%)",130,2
6488,Adiamante,1996,/wiki/Adiamante,70,36,"40
                                ·
                                (57.1%)",819,1
6489,Airframe (novel),1996,/wiki/Airframe_(novel),247,170,"58
                                ·
                                (23.5%)",1932,13
6490,Almost Lost,1996,/wiki/Almost_Lost,52,43,"16
                                ·
                                (30.8%)",141,4
6491,Amnesiascope,1996,/wiki/Amnesiascope,43,28,"23
                                ·
                                (53.5%)",536,0
6492,Ancient Shores,1996,/wiki/Ancient_Shores,56,42,"22
                                ·
                                (39.3%)",208,2
6493,Another Kind of Monday,1996,/wiki/Another_Kind_of_Monday,34,20,"22
                                ·
                                (64.7%)",108,0
6494,The Art Fair,1996,/wiki/The_Art_Fair,12,10,"7
                                ·
                                (58.3%)",251,0
6495,The Atlas (novel),1996,/wiki/The_Atlas_(novel),25,18,"16
                                ·
                                (64%)",230,2
6496,Bad Girls (Voigt novel),1996,/wiki/Bad_Girls_(Voigt_novel),60,48,"21
                                ·
                                (35%)",152,4
6497,The Bear Went Over the Mountain (novel),1996,/wiki/The_Bear_Went_Over_the_Mountain_(novel),44,32,"22
                                ·
                                (50%)",105,1
6498,The Beauty of Men,1996,/wiki/The_Beauty_of_Men,32,17,"25
                                ·
                                (78.1%)",160,1
6499,Beggars Ride,1996,/wiki/Beggars_Ride,69,55,"22
                                ·
                                (31.9%)",2956,0
6500,Belle Prater's Boy,1996,/wiki/Belle_Prater%27s_Boy,18,13,"15
                                ·
                                (83.3%)",85,2
6501,Bellwether (novel),1996,/wiki/Bellwether_(novel),54,45,"18
                                ·
                                (33.3%)",246,3
6502,Benjamin's Crossing,1996,/wiki/Benjamin%27s_Crossing,54,26,"37
                                ·
                                (68.5%)",45,3
6503,The Big Ballad Jamboree,1996,/wiki/The_Big_Ballad_Jamboree,7,4,"7
                                ·
                                (100%)",225,0
6504,The Big Blowdown,1996,/wiki/The_Big_Blowdown,32,23,"17
                                ·
                                (53.1%)",879,0
6505,Biggest Elvis: A Novel,1996,/wiki/Biggest_Elvis:_A_Novel,52,18,"42
                                ·
                                (80.8%)",472,1
6506,Bird Girl and the Man Who Followed the Sun,1996,/wiki/Bird_Girl_and_the_Man_Who_Followed_the_Sun,41,32,"17
                                ·
                                (41.5%)",535,1
6507,Black Alley,1996,/wiki/Black_Alley,19,12,"17
                                ·
                                (89.5%)",217,0
6508,Bleak Seasons,1996,/wiki/Bleak_Seasons,56,36,"30
                                ·
                                (53.6%)",323,2
6509,Blood of the Fold,1996,/wiki/Blood_of_the_Fold,163,102,"53
                                ·
                                (32.5%)",2107,9
6510,Bloody Bones (novel),1996,/wiki/Bloody_Bones_(novel),143,56,"86
                                ·
                                (60.1%)",2786,0
6511,The Book of Mercy,1996,/wiki/The_Book_of_Mercy,24,14,"16
                                ·
                                (66.7%)",48,0
6512,Brian's Winter,1996,/wiki/Brian%27s_Winter,652,368,"151
                                ·
                                (23.2%)",304,215
6513,By the Shores of Gitchee Gumee,1996,/wiki/By_the_Shores_of_Gitchee_Gumee,41,27,"24
                                ·
                                (58.5%)",175,1
6514,Caballero: A Historical Novel,1996,/wiki/Caballero:_A_Historical_Novel,244,33,"217
                                ·
                                (88.9%)",3339,3
6515,The Case of the Kidnapped Collie,1996,/wiki/The_Case_of_the_Kidnapped_Collie,24,15,"16
                                ·
                                (66.7%)",292,0
6516,The Case of the Night-Stalking Bone Monster,1996,/wiki/The_Case_of_the_Night-Stalking_Bone_Monster,29,21,"18
                                ·
                                (62.1%)",391,4
